,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
30,2BHj31ufdEqVK5CkYDp9mA,Mayonaka no Door / Stay With Me,55,0.6579999999999999,0.747,5,-6.615,1,0.0431,0.17600000000000002,8.49e-06,0.0789,0.792,108.259
31,1mkM0WaI38zcBmd6F4nmBl,卡拉永遠OK,14,0.762,0.738,6,-7.442,0,0.0315,0.436,1.66e-06,0.0344,0.902,131.929
32,0FfdtQrD9kT42o6Anv4uDn,大魚 - 唱片版,58,0.355,0.376,10,-11.062000000000001,0,0.0322,0.449,0.000109,0.0947,0.11699999999999999,140.19
33,7KJQsuGFRclzFzwtGXy1OC,你,39,0.705,0.442,8,-9.767000000000001,0,0.0391,0.53,0.0,0.079,0.655,117.97200000000001
34,4fvYU9z5abXplnTpdeejJs,Show Me,55,0.532,0.622,0,-8.722999999999999,0,0.14300000000000002,0.14,0.0,0.121,0.21600000000000003,99.92
35,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,79,0.6890000000000001,0.6940000000000001,6,-5.83,0,0.027000000000000003,0.257,0.0,0.14800000000000002,0.48200000000000004,99.039
36,1EA40FX9aBaKIXwIp83WzL,二十歳の恋,35,0.632,0.375,4,-12.115,0,0.0274,0.7929999999999999,0.36,0.128,0.27399999999999997,113.94
37,5oK98mpTJSU0iqLHN1hZ3y,22 (OVER S∞∞N),57,0.298,0.11199999999999999,1,-15.765,1,0.035300000000000005,0.972,0.0823,0.0935,0.0972,86.786
38,3MGAd3xzWg9xATUFe0bKxW,By the Sea,11,0.7120000000000001,0.721,4,-5.595,0,0.21100000000000002,0.667,0.000458,0.14,0.366,94.95700000000001
39,5oYMLJBYRv0I3D5GZEqODA,More & More,62,0.6890000000000001,0.256,1,-10.572000000000001,1,0.0514,0.7040000000000001,2.29e-06,0.051,0.547,82.936
40,4KP9NMmpcTRop9Qa8nbpwm,Midnight Stroll,17,0.618,0.441,10,-14.985,1,0.05930000000000001,0.34600000000000003,0.879,0.17800000000000002,0.794,166.019
41,2iem9XZI7aANbIpfjCqEUh,夜を使いはたして feat. PUNPEE,49,0.476,0.9079999999999999,5,-5.44,0,0.21100000000000002,0.145,0.0,0.17800000000000002,0.5680000000000001,174.671
42,7EkfLobuyqgITbfn3BFmXh,Moonlight Syndrome,42,0.736,0.268,0,-14.98,0,0.0386,0.637,0.848,0.0996,0.607,89.962
